Type,Time(%),Time,Calls,Avg,Min,Max,Name
"GPU activities",95.54%,9.7272ms,8,1.2159ms,524.12us,1.3638ms,"[CUDA memcpy HtoD]"
,1.33%,135.87us,1,135.87us,135.87us,135.87us,"summator_29_gpu"
,1.20%,121.79us,1,121.79us,121.79us,121.79us,"summator1_39_gpu"
,0.97%,98.784us,1,98.784us,98.784us,98.784us,"summator_29_gpu__red"
,0.88%,89.695us,1,89.695us,89.695us,89.695us,"summator1_39_gpu__red"
,0.04%,4.0960us,2,2.0480us,1.6320us,2.4640us,"[CUDA memcpy DtoH]"
,0.03%,3.3280us,2,1.6640us,1.4400us,1.8880us,"[CUDA memset]"
"API calls",85.71%,182.61ms,1,182.61ms,182.61ms,182.61ms,"cuDevicePrimaryCtxRetain"
,11.80%,25.141ms,1,25.141ms,25.141ms,25.141ms,"cuMemHostAlloc"
,1.45%,3.0920ms,6,515.33us,2.7850us,1.3422ms,"cuStreamSynchronize"
,0.41%,868.01us,1,868.01us,868.01us,868.01us,"cuMemAllocHost"
,0.38%,803.34us,5,160.67us,3.7600us,308.97us,"cuMemAlloc"
,0.12%,256.57us,1,256.57us,256.57us,256.57us,"cuModuleLoadDataEx"
,0.04%,88.826us,8,11.103us,7.1800us,22.831us,"cuMemcpyHtoDAsync"
,0.03%,58.874us,4,14.718us,5.3970us,27.827us,"cuLaunchKernel"
,0.01%,23.986us,8,2.9980us,1.3940us,5.8360us,"cuEventSynchronize"
,0.01%,22.191us,9,2.4650us,1.8500us,3.6470us,"cuEventRecord"
,0.01%,20.417us,2,10.208us,10.115us,10.302us,"cuMemsetD32Async"
,0.01%,12.805us,2,6.4020us,5.3610us,7.4440us,"cuMemcpyDtoHAsync"
,0.01%,12.602us,4,3.1500us,1.9950us,5.3430us,"cuDeviceGetPCIBusId"
,0.01%,11.138us,22,506ns,416ns,1.0420us,"cuDeviceGetAttribute"
,0.00%,9.0510us,3,3.0170us,1.8300us,3.9390us,"cuPointerGetAttributes"
,0.00%,5.2000us,3,1.7330us,345ns,2.5830us,"cuEventCreate"
,0.00%,4.8760us,8,609ns,385ns,2.0570us,"cuDeviceGet"
,0.00%,3.4080us,3,1.1360us,525ns,2.2530us,"cuDeviceGetCount"
,0.00%,2.0400us,4,510ns,397ns,779ns,"cuDeviceComputeCapability"
,0.00%,1.3260us,1,1.3260us,1.3260us,1.3260us,"cuCtxGetCurrent"
,0.00%,1.2580us,3,419ns,238ns,588ns,"cuCtxSetCurrent"
,0.00%,1.2280us,4,307ns,182ns,593ns,"cuModuleGetFunction"
,0.00%,1.1560us,3,385ns,140ns,538ns,"cuDriverGetVersion"
"OpenACC (excl)",78.19%,41.708ms,1,41.708ms,41.708ms,41.708ms,"acc_enter_data@sinus1.c:28"
,14.85%,7.9229ms,1,7.9229ms,7.9229ms,7.9229ms,"acc_enter_data@sinus1.c:38"
,2.52%,1.3435ms,1,1.3435ms,1.3435ms,1.3435ms,"acc_wait@sinus1.c:38"
